Country,Year,emissions
Adventure,Year 1986,416366061 
Adventure,Year 1987,118000329 
Adventure,Year 1988,99725511 
Adventure,Year 1989,442227213 
Adventure,Year 1990,340619237 
Adventure,Year 1991,258719116 
Adventure,Year 1992,258719116 
Adventure,Year 1993,738345886 
Adventure,Year 1994,189505797 
Adventure,Year 1995,512379012 
Adventure,Year 1996,309731348 
Adventure,Year 1997,459315927 
Adventure,Year 1998,159751882 
Adventure,Year 1999,288261492 
Adventure,Year 2000,670307564 
Adventure,Year 2001,931102670 
Adventure,Year 2002,1549867797 
Adventure,Year 2003,866479638 
Adventure,Year 2004,501846298 
Adventure,Year 2005,1523747996 
Adventure,Year 2006,740448491 
Adventure,Year 2007,772228728 
Adventure,Year 2008,356821282 
Adventure,Year 2009,1234607344 
Adventure,Year 2010,1464883669 
Adventure,Year 2011,1000194568 
Adventure,Year 2012,1549867797 
Adventure,Year 2013,739303305 
Adventure,Year 2014,1111492143 
Adventure,Year 2015,714931418 
Adventure,Year 2016,1041511822 
Action,Year 1986,842630055 
Action,Year 1987,825441168 
Action,Year 1988,727383480 
Action,Year 1989,1250307111 
Action,Year 1990,1388813891 
Action,Year 1991,1196712021 
Action,Year 1992,1196712021 
Action,Year 1993,1058248612 
Action,Year 1994,1228501903 
Action,Year 1995,1699490247 
Action,Year 1996,1881403221 
Action,Year 1997,2206274104 
Action,Year 1998,1871781066 
Action,Year 1999,1981041978 
Action,Year 2000,2222860587 
Action,Year 2001,2022564893 
Action,Year 2002,3864541174 
Action,Year 2003,3309975530 
Action,Year 2004,2420147875 
Action,Year 2005,2219120633 
Action,Year 2006,2383499086 
Action,Year 2007,2575206949 
Action,Year 2008,3808501366 
Action,Year 2009,3029660354 
Action,Year 2010,3050798246 
Action,Year 2011,3291462315 
Action,Year 2012,3864541174 
Action,Year 2013,3967024088 
Action,Year 2014,4905376097 
Action,Year 2015,4761701004 
Action,Year 2016,4651239373 
Animation,Year 1986,107774989 
Animation,Year 1987,6804312 
Animation,Year 1988,279620431 
Animation,Year 1989,138643506 
Animation,Year 1990,58728879 
Animation,Year 1991,255351225 
Animation,Year 1992,255351225 
Animation,Year 1993,97259807 
Animation,Year 1994,347787215 
Animation,Year 1995,384513397 
Animation,Year 1996,291228776 
Animation,Year 1997,163503731 
Animation,Year 1998,684465161 
Animation,Year 1999,608576824 
Animation,Year 2000,582270334 
Animation,Year 2001,824392962 
Animation,Year 2002,1392520972 
Animation,Year 2003,631176710 
Animation,Year 2004,1358399616 
Animation,Year 2005,637486295 
Animation,Year 2006,1277324217 
Animation,Year 2007,1479497181 
Animation,Year 2008,1010777700 
Animation,Year 2009,1610087358 
Animation,Year 2010,1671911916 
Animation,Year 2011,1348539461 
Animation,Year 2012,1392520972 
Animation,Year 2013,1702961706 
Animation,Year 2014,1226771845 
Animation,Year 2015,1578336651 
Animation,Year 2016,2444875031 
Biography,Year 1986,22610209 
Biography,Year 1987,231017085 
Biography,Year 1988,48310253 
Biography,Year 1989,149440868 
Biography,Year 1990,103811319 
Biography,Year 1991,88374019 
Biography,Year 1992,88374019 
Biography,Year 1993,244136461 
Biography,Year 1994,110589223 
Biography,Year 1995,186726713 
Biography,Year 1996,138402071 
Biography,Year 1997,136017220 
Biography,Year 1998,191942722 
Biography,Year 1999,201682533 
Biography,Year 2000,310188451 
Biography,Year 2001,321524445 
Biography,Year 2002,230860032 
Biography,Year 2003,131082354 
Biography,Year 2004,357948142 
Biography,Year 2005,371055133 
Biography,Year 2006,437683078 
Biography,Year 2007,370636199 
Biography,Year 2008,174826010 
Biography,Year 2009,592739389 
Biography,Year 2010,411936815 
Biography,Year 2011,202072685 
Biography,Year 2012,230860032 
Biography,Year 2013,708685316 
Biography,Year 2014,463420367 
Biography,Year 2015,543495382 
Biography,Year 2016,649142850 
Comedy,Year 1986,1111280079 
Comedy,Year 1987,1440323116 
Comedy,Year 1988,1561749765 
Comedy,Year 1989,1403563164 
Comedy,Year 1990,1434380376 
Comedy,Year 1991,1390536866 
Comedy,Year 1992,1390536866 
Comedy,Year 1993,1422021628 
Comedy,Year 1994,2140375590 
Comedy,Year 1995,1396379576 
Comedy,Year 1996,1827827272 
Comedy,Year 1997,1515019836 
Comedy,Year 1998,1691162899 
Comedy,Year 1999,1817759631 
Comedy,Year 2000,2126940136 
Comedy,Year 2001,1874023569 
Comedy,Year 2002,1745561801 
Comedy,Year 2003,2681516762 
Comedy,Year 2004,2374300556 
Comedy,Year 2005,2117094697 
Comedy,Year 2006,1861917372 
Comedy,Year 2007,1961821503 
Comedy,Year 2008,2167311021 
Comedy,Year 2009,2071003573 
Comedy,Year 2010,1649515954 
Comedy,Year 2011,2132088002 
Comedy,Year 2012,1745561801 
Comedy,Year 2013,1500113851 
Comedy,Year 2014,1216039199 
Comedy,Year 2015,1318990756 
Comedy,Year 2016,1091440814 
Crime,Year 1986,79311834 
Crime,Year 1987,237896553 
Crime,Year 1988,120778733 
Crime,Year 1989,149843326 
Crime,Year 1990,274047276 
Crime,Year 1991,410726928 
Crime,Year 1992,410726928 
Crime,Year 1993,388283486 
Crime,Year 1994,366316785 
Crime,Year 1995,335353998 
Crime,Year 1996,339563037 
Crime,Year 1997,357590397 
Crime,Year 1998,304511698 
Crime,Year 1999,660638841 
Crime,Year 2000,302341854 
Crime,Year 2001,695342051 
Crime,Year 2002,697979539 
Crime,Year 2003,167833560 
Crime,Year 2004,371039410 
Crime,Year 2005,337072499 
Crime,Year 2006,446455201 
Crime,Year 2007,579114782 
Crime,Year 2008,296771937 
Crime,Year 2009,180988920 
Crime,Year 2010,205850748 
Crime,Year 2011,199979670 
Crime,Year 2012,154097517 
Crime,Year 2013,482213347 
Crime,Year 2014,411354378 
Crime,Year 2015,136513669 
Crime,Year 2016,277497348 
Drama,Year 1986,419407320 
Drama,Year 1987,417017220 
Drama,Year 1988,499233108 
Drama,Year 1989,376605782 
Drama,Year 1990,629614802 
Drama,Year 1991,666501711 
Drama,Year 1992,666501711 
Drama,Year 1993,885184485 
Drama,Year 1994,576606764 
Drama,Year 1995,545666368 
Drama,Year 1996,569645842 
Drama,Year 1997,1257474073 
Drama,Year 1998,922308764 
Drama,Year 1999,1122026497 
Drama,Year 2000,808739307 
Drama,Year 2001,875299312 
Drama,Year 2002,1273222050 
Drama,Year 2003,456768599 
Drama,Year 2004,1228575430 
Drama,Year 2005,940449514 
Drama,Year 2006,916743338 
Drama,Year 2007,911668532 
Drama,Year 2008,1321964921 
Drama,Year 2009,843696248 
Drama,Year 2010,832192083 
Drama,Year 2011,782438329 
Drama,Year 2012,1005520415 
Drama,Year 2013,788557417 
Drama,Year 2014,709842379 
Drama,Year 2015,1065443374 
Drama,Year 2016,527227270 
Horror,Year 1986,106328013 
Horror,Year 1987,52368254 
Horror,Year 1988,169317504 
Horror,Year 1989,101420227 
Horror,Year 1990,57429324 
Horror,Year 1991,9193849 
Horror,Year 1992,9193849 
Horror,Year 1993,17692603 
Horror,Year 1994,9624386 
Horror,Year 1995,55055871 
Horror,Year 1996,148441170 
Horror,Year 1997,260059775 
Horror,Year 1998,218337295 
Horror,Year 1999,283323348 
Horror,Year 2000,278731616 
Horror,Year 2001,235957340 
Horror,Year 2002,173013689 
Horror,Year 2003,291158543 
Horror,Year 2004,208361276 
Horror,Year 2005,374215670 
Horror,Year 2006,447495241 
Horror,Year 2007,498492436 
Horror,Year 2008,317481021 
Horror,Year 2009,360978137 
Horror,Year 2010,334913697 
Horror,Year 2011,256939179 
Horror,Year 2012,277699523 
Horror,Year 2013,364963534 
Horror,Year 2014,211315887 
Horror,Year 2015,263565084 
Horror,Year 2016,443672343 
